UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,1/22/20,R0EG
84036061,US,USA,840,36061,New York,New York,US,40.76727260000001,-73.97152637,"New York City, New York, US",0,1.1836242611393364
84017031,US,USA,840,17031,Cook,Illinois,US,41.84144849,-87.81658794,"Cook, Illinois, US",0,1.2583849514634502
84036059,US,USA,840,36059,Nassau,New York,US,40.74066522,-73.58941873,"Nassau, New York, US",0,1.1825068541618797
84036103,US,USA,840,36103,Suffolk,New York,US,40.88320119,-72.8012172,"Suffolk, New York, US",0,1.1972760978169816
84006037,US,USA,840,6037,Los Angeles,California,US,34.30828379,-118.2282411,"Los Angeles, California, US",0,1.2454761631998874
84036119,US,USA,840,36119,Westchester,New York,US,41.16278376,-73.75741653,"Westchester, New York, US",0,1.1721714891733326
84042101,US,USA,840,42101,Philadelphia,Pennsylvania,US,40.00338507,-75.1379271,"Philadelphia, Pennsylvania, US",0,1.246597079337979
84026163,US,USA,840,26163,Wayne,Michigan,US,42.28098405,-83.281255,"Wayne, Michigan, US",0,1.1841859453866146
84034017,US,USA,840,34017,Hudson,New Jersey,US,40.73766234,-74.07515667,"Hudson, New Jersey, US",0,1.232558400216589
84025017,US,USA,840,25017,Middlesex,Massachusetts,US,42.48607732,-71.39049229,"Middlesex, Massachusetts, US",0,1.253358268686286
84034003,US,USA,840,34003,Bergen,New Jersey,US,40.96010917,-74.07164325,"Bergen, New Jersey, US",0,1.1914081432907202
84034013,US,USA,840,34013,Essex,New Jersey,US,40.78681335,-74.24657979,"Essex, New Jersey, US",0,1.2135037475447967
84025025,US,USA,840,25025,Suffolk,Massachusetts,US,42.3279514,-71.07850442,"Suffolk, Massachusetts, US",0,1.2390727916754316
84034031,US,USA,840,34031,Passaic,New Jersey,US,41.03238628,-74.29954144,"Passaic, New Jersey, US",0,1.2379292457922824
84012086,US,USA,840,12086,Miami-Dade,Florida,US,25.6112362,-80.55170587,"Miami-Dade, Florida, US",0,1.2058493373340795
84034039,US,USA,840,34039,Union,New Jersey,US,40.65835409,-74.30680092,"Union, New Jersey, US",0,1.2270496155658694
84034023,US,USA,840,34023,Middlesex,New Jersey,US,40.43629879,-74.41426991,"Middlesex, New Jersey, US",0,1.2339148922774326
84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",0,1.222972174667449
84036087,US,USA,840,36087,Rockland,New York,US,41.15027894,-74.02560498,"Rockland, New York, US",0,1.1817646069334917
84025009,US,USA,840,25009,Essex,Massachusetts,US,42.6687626,-70.94687179,"Essex, Massachusetts, US",0,1.2658327583536664
84024033,US,USA,840,24033,Prince George's,Maryland,US,38.83070039,-76.8496441,"Prince George's, Maryland, US",0,1.2898593746327307
84036071,US,USA,840,36071,Orange,New York,US,41.40337468,-74.30240757,"Orange, New York, US",0,1.196552511836543
84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",0,1.252134814209745
84044007,US,USA,840,44007,Providence,Rhode Island,US,41.87064746,-71.57753536,"Providence, Rhode Island, US",0,1.3024859514586293
84048201,US,USA,840,48201,Harris,Texas,US,29.85864939,-95.39339521,"Harris, Texas, US",0,1.2232464637442448
84025027,US,USA,840,25027,Worcester,Massachusetts,US,42.35026951,-71.90493363,"Worcester, Massachusetts, US",0,1.2742202799380142
84026125,US,USA,840,26125,Oakland,Michigan,US,42.66090111,-83.38595416,"Oakland, Michigan, US",0,1.1827018651895997
84034029,US,USA,840,34029,Ocean,New Jersey,US,39.8895449,-74.28089251,"Ocean, New Jersey, US",0,1.2147132202988933
84018097,US,USA,840,18097,Marion,Indiana,US,39.78163624,-86.13826325,"Marion, Indiana, US",0,1.2205123123421724
84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",0,1.2622216570550033
84053033,US,USA,840,53033,King,Washington,US,47.49137892,-121.8346131,"King, Washington, US",1,1.1503426055857655
84025021,US,USA,840,25021,Norfolk,Massachusetts,US,42.16073095,-71.20530408,"Norfolk, Massachusetts, US",0,1.2368565097555113
84034025,US,USA,840,34025,Monmouth,New Jersey,US,40.26549699,-74.22240686,"Monmouth, New Jersey, US",0,1.2011783265049043
84024031,US,USA,840,24031,Montgomery,Maryland,US,39.13676329,-77.20358245,"Montgomery, Maryland, US",0,1.2698238079640085
84022051,US,USA,840,22051,Jefferson,Louisiana,US,29.74075478,-90.11115756,"Jefferson, Louisiana, US",0,1.1826863433956925
84022071,US,USA,840,22071,Orleans,Louisiana,US,30.06971951,-89.92660315,"Orleans, Louisiana, US",0,1.1610647678709463
84025023,US,USA,840,25023,Plymouth,Massachusetts,US,41.94070556,-70.80802823,"Plymouth, Massachusetts, US",0,1.260751884111746
84011001,US,USA,840,11001,District of Columbia,District of Columbia,US,38.90417773,-77.01655992,"District of Columbia,District of Columbia,US",0,1.2505118885301372
84051059,US,USA,840,51059,Fairfax,Virginia,US,38.83677558,-77.27565836,"Fairfax, Virginia, US",0,1.3026952256510917
84048113,US,USA,840,48113,Dallas,Texas,US,32.76670599,-96.7779605,"Dallas, Texas, US",0,1.2372487052550427
84026099,US,USA,840,26099,Macomb,Michigan,US,42.69158356,-82.92752801,"Macomb, Michigan, US",0,1.1987157543835254
84004013,US,USA,840,4013,Maricopa,Arizona,US,33.34835867,-112.4918154,"Maricopa, Arizona, US",0,1.2259783193453135
84012011,US,USA,840,12011,Broward,Florida,US,26.15184651,-80.48725556,"Broward, Florida, US",0,1.1929975693836596
84034027,US,USA,840,34027,Morris,New Jersey,US,40.86095313,-74.54553709999998,"Morris, New Jersey, US",0,1.2092096407360322
84034021,US,USA,840,34021,Mercer,New Jersey,US,40.28047017,-74.70479631,"Mercer, New Jersey, US",0,1.2679616148528863
84017097,US,USA,840,17097,Lake,Illinois,US,42.3224907,-88.00367925,"Lake, Illinois, US",0,1.254056561426456
84042091,US,USA,840,42091,Montgomery,Pennsylvania,US,40.21053671,-75.36652296,"Montgomery, Pennsylvania, US",0,1.2257853644803223
84006065,US,USA,840,6065,Riverside,California,US,33.74314981,-115.9933578,"Riverside, California, US",0,1.2852633973709389
84006073,US,USA,840,6073,San Diego,California,US,33.03484597,-116.7365326,"San Diego, California, US",0,1.2161199615847873
84042045,US,USA,840,42045,Delaware,Pennsylvania,US,39.91680171,-75.40243663,"Delaware, Pennsylvania, US",0,1.2458352287800785
84025005,US,USA,840,25005,Bristol,Massachusetts,US,41.79228404,-71.10872211,"Bristol, Massachusetts, US",0,1.2687687778832708
84034007,US,USA,840,34007,Camden,New Jersey,US,39.80343818,-74.96388753,"Camden, New Jersey, US",0,1.267524698723421
