gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
TFC3,YAL001C,2,22,3.2582,1.38487,0.08309,0.95965,0.97809,1.01471,1.04274,1.00636
VPS8,YAL002W,2,22,0.84721,0.2865,0.03812,0.98053,0.95324,0.96129,0.94241,0.96764
EFB1,YAL003W,0,0,,,,,,,,
YAL004W,YAL004W,2,22,2.61832,1.11391,0.03164,0.9994,1.01039,1.00417,0.97876,0.99019
ssa1,YAL005C,2,22,2.5438,1.08117,0.10716,1.0391,1.11709,1.11584,1.14119,1.14626
ERP2,YAL007C,2,22,3.46516,1.46867,0.09066,1.02426,1.08609,1.10531,1.10899,1.11491
FUN14,YAL008W,2,22,10.72663,3.58305,0.05902,1.01484,1.05236,1.05927,1.0701,1.07386
spo7,YAL009W,2,22,6.81051,2.60623,0.07949,0.91429,0.98614,0.9777,0.98581,0.99379
mdm10,YAL010C,2,12,40.87401,3.28429,0.15756,0.73142,0.67968,0.71395,0.57385,0.64877
YAL011W,YAL011W,2,22,4.82463,1.97621,0.08582,0.92452,0.93185,0.99266,0.90684,0.97597
cys3,YAL012W,4,44,31.79489,10.48574,0.20226,0.93209,0.89815,0.72984,0.78783,0.90419
DEP1,YAL013W,1,6,0,0,0.08131,0.88767,0.86117,0.94214,0.87337,0.86084
YAL014C,YAL014C,2,22,2.68112,1.14131,0.05918,0.99791,1.03336,1.05262,1.04414,1.05709
NTG1,YAL015C,2,22,1.83608,0.75835,0.04782,0.96209,0.99229,1.00992,0.98347,1.004
tpd3,YAL016W,0,0,,,,,,,,
FUN31,YAL017W,2,22,7.56781,2.81875,0.0503,1.00411,1.01313,1.01977,0.97234,0.96947
YAL018C,YAL018C,2,22,0.86909,0.29672,0.02012,1.00743,1.01244,1.02755,1.02442,1.01925
FUN30,YAL019W,2,22,1.11276,0.41242,0.04339,0.96259,0.94802,0.981,0.9376,0.95613
ATS1,YAL020C,2,22,24.37306,5.68768,0.10234,0.89262,0.86426,0.9666,0.96214,0.96579
ccr4,YAL021C,2,22,9.83988,3.38564,0.17314,0.82578,0.87219,0.97504,0.87561,0.99893
FUN26,YAL022C,2,22,2.35679,0.99792,0.09847,1.01619,1.10719,1.10645,1.11466,1.10551
PMT2,YAL023C,2,22,0.2041,0.03051,0.03992,0.92724,0.90576,0.94568,0.93249,0.91886
lte1,YAL024C,4,44,9.72645,4.67155,0.15925,0.99705,0.83781,0.97941,0.93829,0.98521
mak16,YAL025C,0,0,,,,,,,,
DRS2,YAL026C,2,22,3.03173,1.29105,0.11794,0.9003,0.8539,0.85794,0.78236,0.84253
YAL027W,YAL027W,2,22,2.6929,1.14643,0.07072,1.02034,1.07789,1.09106,1.07743,1.07783
YAL028W,YAL028W,2,22,2.42934,1.0304,0.07649,1.00976,1.07318,1.08625,1.06262,1.05938
MYO4,YAL029C,2,22,0.38651,0.08887,0.02181,1.00339,0.99012,0.99823,0.98417,0.98158
SNC1,YAL030W,2,22,4.53832,1.87513,0.08143,1.0173,1.06245,1.07711,1.09873,1.09839
FUN21,YAL031C,2,22,3.66254,1.54689,0.0381,1.00815,1.03063,1.04625,1.0369,1.04075
PRP45,YAL032C,0,0,,,,,,,,
POP5,YAL033W,0,0,,,,,,,,
FUN19,YAL034C,2,22,4.40587,1.82737,0.09872,0.98263,0.99513,1.08135,1.03992,1.0333
MTW1,YAL034W-A,0,0,,,,,,,,
YAL035C-A,YAL035C-A,0,0,,,,,,,,
FUN12,YAL035W,2,16,6.75987,2.07031,0.18919,0.66296,0.5841,0.77329,0.73499,0.71455
FUN11,YAL036C,2,22,1.34763,0.52541,0.04833,0.98201,1.00597,1.03034,1.0289,1.0205
YAL037W,YAL037W,2,22,4.41306,1.82998,0.04161,0.99378,0.99133,0.9942,0.95259,0.96453
cdc19,YAL038W,0,0,,,,,,,,
cyc3,YAL039C,2,22,34.50359,6.67468,0.32801,0.90601,0.82871,0.63107,0.578,0.59678
cln3,YAL040C,2,22,6.31962,2.46096,0.09283,0.96307,0.99765,1.05589,1.03805,1.02314
cdc24,YAL041W,0,0,,,,,,,,
ERV46,YAL042W,2,22,1.667,0.67839,0.04527,0.99819,1.04209,1.04347,1.0356,1.01155
pta1,YAL043C,0,0,,,,,,,,
YAL043C-A,YAL043C-A,2,22,2.15762,0.90758,0.0375,0.99192,1.00966,1.00027,0.98243,0.97216
GCV3,YAL044C,2,12,7.35946,1.59865,0.13316,0.75983,0.74283,0.67422,0.62666,0.64681
YAL045C,YAL045C,2,22,1.03363,0.37455,0.027,1.00908,1.02536,1.03607,1.03293,1.03136
