systematic,gene,sgd
YAL001C,TFC3,S000000001
YAL002W,VPS8,S000000002
YAL003W,EFB1,S000000003
YAL004W,YAL004W,S000002136
YAL005C,SSA1,S000000004
YAL007C,ERP2,S000000005
YAL008W,FUN14,S000000006
YAL009W,SPO7,S000000007
YAL010C,MDM10,S000000008
YAL011W,SWC3,S000000009
YAL012W,CYS3,S000000010
YAL013W,DEP1,S000000011
YAL014C,SYN8,S000000012
YAL015C,NTG1,S000000013
YAL016C-A,YAL016C-A,S000028728
YAL016C-B,YAL016C-B,S000028528
YAL016W,TPD3,S000000014
YAL017W,PSK1,S000000015
YAL018C,LDS1,S000000016
YAL019W,FUN30,S000000017
YAL019W-A,YAL019W-A,S000028729
YAL020C,ATS1,S000000018
YAL021C,CCR4,S000000019
YAL022C,FUN26,S000000020
YAL023C,PMT2,S000000021
YAL024C,LTE1,S000000022
YAL025C,MAK16,S000000023
YAL026C,DRS2,S000000024
YAL026C-A,YAL026C-A,S000028730
YAL027W,SAW1,S000000025
YAL028W,FRT2,S000000026
YAL029C,MYO4,S000000027
YAL030W,SNC1,S000000028
YAL031C,GIP4,S000000029
YAL031W-A,YAL031W-A,S000028731
YAL032C,PRP45,S000000030
YAL033W,POP5,S000000031
YAL034C,FUN19,S000002134
YAL034C-B,YAL034C-B,S000002137
YAL034W-A,MTW1,S000000032
YAL035W,FUN12,S000000033
YAL036C,RBG1,S000000034
YAL037C-A,YAL037C-A,S000028732
YAL037C-B,YAL037C-B,S000028592
YAL037W,YAL037W,S000000035
YAL038W,CDC19,S000000036
YAL039C,CYC3,S000000037
YAL040C,CLN3,S000000038
YAL041W,CDC24,S000000039
YAL042C-A,YAL042C-A,S000002138
YAL042W,ERV46,S000000040
YAL043C,PTA1,S000000041
YAL044C,GCV3,S000000042
YAL044W-A,YAL044W-A,S000007586
YAL045C,YAL045C,S000000043
YAL046C,AIM1,S000000044
YAL047C,SPC72,S000000045
YAL047W-A,YAL047W-A,S000028733
YAL048C,GEM1,S000000046
YAL049C,AIM2,S000000047
YAL051W,OAF1,S000000048
YAL053W,FLC2,S000000049
YAL054C,ACS1,S000000050
YAL055W,PEX22,S000000051
YAL056C-A,YAL056C-A,S000002139
YAL056W,GPB2,S000000052
YAL058W,CNE1,S000000054
YAL059C-A,YAL059C-A,S000028734
YAL059W,ECM1,S000000055
YAL060W,BDH1,S000000056
YAL061W,BDH2,S000000057
YAL062W,GDH3,S000000058
YAL063C,FLO9,S000000059
YAL063C-A,YAL063C-A,S000028813
YAL064C-A,TDA8,S000002140
YAL064W,YAL064W,S000000060
