"GSE18310"	# Eos1 involvement in zinc homeostasis
"GSE18314"	# High-level furfural resistance in S. cerevisiae is based on NADPH-dependent reduction by at least two oxireductases
"GSE18334"	# Profiling oxidative stress in Saccharomyces cerevisiae by oxidation of transcription factor Swi6p
"GSE18456"	# Yeast Genomic Expression Patterns in Response to Zymolyase Treatment
"GSE18488"	# Yeast expression data from conditions that inhibit sirtuins
"GSE18994"	# Expression profile of ypr045c∆ mutant
"GSE19016"	# The metabolic responce to iron deficiency in Saccharomyces cerevisiae
"GSE19213"	# Expression data from oxidant treated yeast
"GSE19302"	# Expression profile of the “heat-inducible N-degron” of Nab2 (nab2-td)
"GSE19511"	# Equivalent mutations in the eight subunits of the chaperonin CCT produce dramatically different cell phenotypes.
"GSE19569"	# Expression data from wild-type FY4 and GCR2 deletion strain
"GSE20108"	# Responses to ethanol in haploid and diploid strain
"GSE20155"	# Comparative transcriptome analysis of yeast expressing the fungal desaturases
"GSE20351"	# Profiling the transcriptional response upon deletion of PUN1
"GSE20378"	# PTC1 mutant Yeast Genomic Expression Patterns in Response to deoxynivalenol
"GSE20566"	# Glucose uptake is required for glucose-stimulated transcriptional response in Saccharomyces cerevisiae
"GSE20591"	# Expression data of β-subunit of Snf1 kinase in yeast Saccharomyces cerevisiae
"GSE21187"	# Chronological Aging of Yeast in the Absence of Caloric Restriction: Cell Immobilization Uncouples Reproduction from Metabolism
"GSE21479"	# Whole genome sequencing of Saccharomyces cerevisiae: from genotype to phenotype for improved metabolic engineering applications
"GSE21571"	# In the absence of H2A.Z, the SWR1 histone replacement complex causes genetic instability, stress and genome transcription misregulation
"GSE21988"	# Nutrient-dependent regulation of gene expression in Saccharomyces cerevisiae
"GSE22122"	# Phosphoglycerate mutase knock-out mutant Saccharomyces cerevisiae: physiological investigation and transcriptome analysis
"GSE22269"	# Expression data from Saccharomyces cerevisiae treated with Small Molecule Enhancers of Rapamycin (SMERs)
"GSE22270"	# Expression data from Saccharomyces cerevisiae Met30 temperature-sensitive strain
"GSE22271"	# Expression data from Saccharomyces cerevisiae temperature-sensitive strains specific for SCF core components (Skp1, Cullin (Cdc53), E2 enzyme (Cdc34)) and the F-box protein Cdc4.
"GSE22272"	# Chemical Genetics of TOR Identifies an SCF Family E3 Ubiquitin Ligase Inhibitor
"GSE22644"	# Expression data of yeast with and without ribosomal protein Rpl12ap or Rpl12bp
"GSE22809"	# Expression data from lack of DNA topoisomerase I, DNA topoisomerase II and complete lack of both topoisomerases
"GSE22832"	# Transcriptional response of Sacchromyces cerevisiae to change in oxygen provision
"GSE23012"	# Metabolic and transcriptional dynamics during the transition from carbon limitation to nitrogen limitation in Saccharomyces cerevisiae
"GSE23711"	# Expression profiling of nhp6 mutants and wildtype yeast cells (Saccharomyces cerevisiae)
"GSE24053"	# Expression data from wild-type FY4 and the BAS1-deletion strain
"GSE24054"	# Expression data from wild-type FY4 and the PHO2-deletion strain
"GSE24056"	# Expression data from wild-type FY4 and the GCN4-deletion strain
"GSE24057"	# Expression data from wild-type FY4 and the TF-KOs BAS1-, PHO2-, GCN4- and GCR2-deletion strains
"GSE24234"	# Experimental systems biology: Lessons from an integrated, multi-laboratory study in yeast
"GSE24266"	# Yeast (Saccharomyces cerevisiae) Overexpression suppression study
"GSE24380"	# Expression data from wild-type and H2B K37A mutant yeast histones
"GSE24421"	# Interaction of Snf1 with TORC1 in yeast Saccharomyces cerevisiae
"GSE24645"	# Revealing the beneficial effect of protease supplementation to high gravity beer fermentations using “–omics” techniques
"GSE24802"	# Expression data from Saccharomyces cerevisiae strains deleted for different subunits of the THO/TREX complex
"GSE24888"	# Phytochemical variations in medicinal herbs affecting bioefficacy: Equisetum arvense extracts in the global market place as a case study
"GSE25541"	# cAMP/PKA signaling balances respiratory activity with mitochondria dependent apoptosis via transcriptional regulation
"GSE26171"	# Yeast Genomic Expression Patterns in Response to Patulin and Ascorbic acid
