Gene,RLS
YAL002W,33.93333
YAL004W,22.2
YAL005C,30.4
YAL007C,20.28
YAL008W,26.4
YAL009W,17.97647
YAL010C,21.8
YAL011W,22.16
YAL012W,30.2
YAL013W,21.4
YAL014C,18.8
YAL015C,27.2
YAL016W,10.98824
YAL017W,27.42222
YAL018C,27.6
YAL019W,21.4
YAL020C,20
YAL021C,9.2
YAL022C,26.4
YAL023C,30.92
YAL024C,27.86667
YAL026C,22.2
YAL027W,18.2
YAL028W,24.6
YAL029C,28.6
YAL030W,25.4
YAL031C,14.6
YAL034C,22
YAL035W,30.07619
YAL036C,25.2
YAL037W,20.6
YAL039C,22.28
YAL040C,23.82759
YAL042W,27.08
YAL043C-A,29.8
YAL044C,19
YAL045C,21.4
YAL046C,26.2
YAL047C,3.93333
YAL048C,31.68889
YAL049C,24.6
YAL051W,24
YAL053W,21.2
YAL054C,25.05
YAL055W,27
YAL056W,15.4
YAL058C-A,23.6
YAL058W,17.8
YAL059W,29.6
YAL060W,22.2
YAL061W,28.2
YAL062W,26
YAL064C-A,29.8
YAL065C,21.6
YAL066W,18.2
YAL067C,21.36
YAL068C,26.4
YAR002C-A,27.2
YAR002W,19
YAR003W,22.6
YAR014C,26.8
YAR015W,24.2
YAR018C,24.4
YAR020C,19.4
YAR023C,28
YAR027W,24
YAR028W,26.2
YAR029W,21.6
YAR030C,22.8
YAR031W,25.6
YAR035W,24.6
YAR042W,24.4
YAR047C,23.6
YAR050W,21
YBL001C,22.8
YBL002W,25.6
YBL003C,24
YBL005W,21.8
YBL006C,24.2
YBL007C,7.68571
YBL008W,32.96
YBL009W,30.73333
YBL010C,19.6
YBL011W,27.13333
YBL012C,18.8
YBL013W,22.2
YBL015W,30
YBL016W,29.42857
YBL017C,24
YBL019W,27.13333
YBL021C,16.4
YBL022C,21.2
YBL024W,27.6
YBL025W,10.2
YBL027W,33.16129
YBL028C,7.6
YBL029W,24
YBL031W,24.2
YBL032W,15.2
YBL036C,34.26667
YBL037W,19
YBL038W,23.2
YBL039C,23.4
YBL042C,33.53333
YBL043W,21.8
YBL044W,19
YBL045C,22.66667
YBL046W,25
YBL047C,15.36471
YBL048W,21.4
YBL049W,16.8
YBL051C,17.8
YBL052C,28.33846
YBL053W,36.66667
YBL054W,19
YBL055C,17.8
YBL056W,24.4
YBL057C,27.4
YBL058W,10.2
YBL059W,21.2
YBL060W,30
YBL061C,19.8
YBL062W,15.8
YBL063W,24.8
YBL064C,24.28
YBL065W,17.6
YBL066C,22.2
YBL067C,34.2
YBL068W,27.4
YBL069W,17.8
YBL070C,20.2
YBL071C,30.4
YBL072C,27.81905
YBL075C,24.8
YBL078C,31.92941
YBL079W,9.96
YBL080C,24.4
YBL081W,26.2
YBL082C,28.07059
YBL083C,36.8
YBL085W,25.28
YBL086C,18
YBL087C,35.32941
YBL088C,22.7
YBL089W,26.2
YBL090W,17.2
YBL091C-A,25.2
YBL091C,33.01905
YBL093C,7.2
YBL094C,18.2
YBL095W,25.8
YBL096C,24
YBL098W,32.6
YBL099W,6.64706
YBL100C,8.8
YBL101C,26.2
YBL102W,35.2
YBL103C,28.2
YBL104C,35
YBL106C,19
YBL107C,35.4
YBR001C,29
YBR003W,20.36364
YBR005W,38.2
YBR006W,26
YBR007C,34.08
YBR008C,32.6
YBR009C,37.8
YBR010W,38
YBR012C,28.6
YBR013C,38.04
YBR014C,22.8
YBR015C,32.96
YBR016W,32.4
YBR018C,27
YBR019C,31.4
YBR020W,21.4
YBR021W,30.2
YBR022W,28
YBR023C,18
YBR024W,28.66667
YBR025C,21
YBR026C,28.48889
YBR027C,31.2
YBR028C,28.86154
YBR030W,31.15556
YBR031W,29.55556
YBR032W,26.6
YBR033W,30.4
YBR034C,31.75556
YBR035C,16.6
YBR036C,18.8
YBR037C,35.88
YBR039W,35
YBR040W,29.6
YBR041W,23.2
YBR042C,34.4
YBR043C,38.2
YBR044C,24.6
YBR045C,32
YBR046C,28.56
YBR047W,21.6
YBR048W,22.57143
YBR050C,36
YBR051W,28.6
YBR052C,24
YBR053C,19
YBR054W,34.12308
YBR056W,27
YBR057C,24.4
YBR058C,28
YBR059C,29
YBR062C,33.2
YBR063C,24.4
YBR064W,33.8
YBR065C,30.2
YBR066C,30.8
YBR067C,25.8
YBR068C,26.8
YBR069C,22.76
YBR071W,30.2
YBR072W,37.6
YBR073W,28.4
YBR074W,28.86667
YBR076W,29
YBR077C,32
YBR078W,17.8
YBR081C,4.31707
YBR083W,26.08
YBR084C-A,34.51765
YBR084W,25.6
YBR085W,29.53333
YBR089C-A,28.2
YBR090C,27.2
YBR092C,23.57778
YBR093C,29.8
YBR094W,28.2
YBR095C,30
YBR096W,28.44444
YBR097W,7.2
YBR098W,23
YBR099C,33.4
YBR100W,24.6
YBR101C,30
YBR103W,27.7
YBR104W,31.2
YBR105C,17.90909
YBR106W,28.6
YBR107C,27.6
YBR108W,33.6
YBR111C,26.6
YBR111W-A,25.45
YBR112C,21.76
YBR113W,35.8
YBR114W,24.57778
YBR115C,32
YBR116C,26.6
YBR117C,30.96
YBR119W,22.2
YBR120C,26.36
YBR125C,31.2
YBR126C,22.6
