db.name,sys.name
ACN9,YDR511W
ADE5-7,YGL234W
AIM13,YFR011C
AIM31,YML030W
AIM37,YNL100W
AIM38,YNR018W
AML1,YGR001C
ARG5-6,YER069W
CIS1,YLR346C
CSN12,YJR084W
CUP5,YEL027W
CWH36,YCL007C
DAN2,YLR037C
DAN3,YBR301W
DEM1,YBR163W
DMR1,YGR150C
DUR1-2,YBR208C
ECM17,YJR137C
ECM37,YIL146C
ECM40,YMR062C
EMI5,YOL071W
FEN1,YCR034W
FMP12,YHL021C
FMP13,YKR016W
FMP14,YPL099C
FMP21,YBR269C
FMP22,YHR198C
FMP26,YJR080C
FMP31,YOR286W
FMP34,YHR199C
FMP36,YDR493W
FMP37,YGL080W
FMP38,YOR205C
FMP39,YMR157C
FMP42,YMR221C
FMP43,YGR243W
FMP51,YBR262C
GEP1,YLR168C
GSG1,YDR108W
HOR2,YER062C
HSP40,YNL064C
KEM1,YGL173C
KRE11,YGR166W
KRE27,YIL027C
LPE10,YPL060W
LRC1,YDL237W
LRC2,YIL087C
LRC3,YKL207W
MF_ALPHA1,YPL187W
MF_ALPHA2,YGL089C
MIC14,YDR031W
MIC17,YMR002W
MNI1,YIL110W
MNI2,YPR045C
MUC1,YIR019C
MUQ1,YGR007W
OSH1,YAR042W
PGM3,YMR278W
PPA1,YHR026W
RHR2,YIL053W
RMD11,YHL023C
SEE1,YIL064W
SOY1,YBR194W
SUR4,YLR372W
TFP1,YDL185W
TFP3,YPL234C
VPS66,YPR139C
YAL043CA,YAL043C-A
YAL058CA,YAL058C-A
YAL064CA,YAL064C-A
YBR075W,YBR074W
YBR090CA,YBR089C-A
YBR100W,YBR100W
YCL001WA,YCL001W
YCL003W,YCL004W
YCL012W,YCL014W
YCL060C,YCL061C
YCL062W,YCL063W
YCR062W,YCR061W
YCR087CA,YCR087C-A
YCR102WA,YCR102W-A
YDL038C,YDL039C
YDL134CA,YDL133C-A
YDR179WA,YDR179W-A
YDR474C,YDR475C
YER038WA,YER038W-A
YER039CA,YER039C-A
YER046WA,YER046W-A
YER066CA,YER066C-A
YER067CA,YER067C-A
YER068CA,YER068C-A
YER087CA,YER087C-A
YER091CA,YER091C-A
YER093CA,YER093C-A
YER108C,YER108C
YER119CA,YER119C-A
YFL006W,YFL007W
YFL013WA,YFL013W-A
YFL035CB,YFL035C-A
YFL043C,YFL042C
YGL046W,YGL046W
YGR122CA,YGR122C-A
YGR272C,YGR272C-A
YHR039CB,YHR039C-A
YHR049CA,YHR049C-A
YHR079CB,YHR079C-A
YHR139CA,YHR139C-A
YIL015CA,YIL014C-A
YIL168W,YIL167W
YIR020WB,YIR020W-A
YIR044C,YIR043C
YJL017W,YJL016W
YJL021C,YJL020C
YJL206CA,YJL205C
YKL033WA,YKL033W-A
YKL158W,YKL157W
YKL162CA,YKL162C-A
YKL199C,YKL198C
YKL200C,YKL201C
YLR391W,YLR391W-A
YML010CB,YML010C-A
YML010WA,YML010W-A
YML013CA,YML013C-A
YML033W,YML034W
YML035CA,YML034C-A
YML048WA,YML047W-A
YML058CA,YML057C-A
YML095CA,YML094C-A
YML100WA,YML100W-A
YML102CA,YML101C-A
YML117WA,YML116W-A
YMR031WA,YMR031W-A
YMR052CA,YMR052C-A
YMR075CA,YMR075C-A
YMR086CA,YMR086C-A
YMR119WA,YMR119W-A
YMR135WA,YMR135W-A
YMR153CA,YMR153C-A
YMR158CB,YMR158C-A
YMR158WA,YMR158W-B
YMR172CA,YMR172C-A
YMR173WA,YMR173W-A
YMR193CA,YMR193C-A
YMR194CA,YMR194C-A
YMR244CA,YMR244C-A
YMR294WA,YMR294W-A
YMR304CA,YMR304C-A
YMR306CA,YMR306C-A
YMR316CA,YMR316C-A
YMR316CB,YMR316C-B
YOL013WA,YOL013W-A
YOL053CA,YOL052C-A
YOR008CA,YOR008C-A
YOR088W,YOR087W
YOR240W,YOR239W
YOR304CA,YOR304C-A
YPR090W,YPR089W
VPS8,YAL002W
YAL004W,YAL004W
SSA1,YAL005C
ERP2,YAL007C
FUN14,YAL008W
SPO7,YAL009W
MDM10,YAL010C
SWC3,YAL011W
CYS3,YAL012W
DEP1,YAL013W
SYN8,YAL014C
NTG1,YAL015C
TPD3,YAL016W
PSK1,YAL017W
YAL018C,YAL018C
FUN30,YAL019W
ATS1,YAL020C
CCR4,YAL021C
FUN26,YAL022C
PMT2,YAL023C
LTE1,YAL024C
DRS2,YAL026C
SAW1,YAL027W
FRT2,YAL028W
MYO4,YAL029C
SNC1,YAL030W
GIP4,YAL031C
FUN19,YAL034C
FUN12,YAL035W
RBG1,YAL036C
YAL037W,YAL037W
CYC3,YAL039C
CLN3,YAL040C
ERV46,YAL042W
GCV3,YAL044C
YAL045C,YAL045C
AIM1,YAL046C
SPC72,YAL047C
GEM1,YAL048C
AIM2,YAL049C
OAF1,YAL051W
FLC2,YAL053W
ACS1,YAL054C
PEX22,YAL055W
GPB2,YAL056W
CNE1,YAL058W
ECM1,YAL059W
BDH1,YAL060W
BDH2,YAL061W
GDH3,YAL062W
YAL065C,YAL065C
YAL066W,YAL066W
SEO1,YAL067C
PAU8,YAL068C
ERP1,YAR002C-A
NUP60,YAR002W
SWD1,YAR003W
BUD14,YAR014C
ADE1,YAR015W
KIN3,YAR018C
PAU7,YAR020C
YAR023C,YAR023C
UIP3,YAR027W
YAR028W,YAR028W
YAR029W,YAR029W
YAR030C,YAR030C
PRM9,YAR031W
YAT1,YAR035W
SWH1,YAR042W
YAR047C,YAR047C
FLO1,YAR050W
ECM15,YBL001C
HTB2,YBL002W
HTA2,YBL003C
PDR3,YBL005W
LDB7,YBL006C
SLA1,YBL007C
HIR1,YBL008W
ALK2,YBL009W
YBL010C,YBL010C
SCT1,YBL011W
YBL012C,YBL012C
FMT1,YBL013W
ACH1,YBL015W
FUS3,YBL016W
PEP1,YBL017C
APN2,YBL019W
HAP3,YBL021C
PIM1,YBL022C
NCL1,YBL024W
RRN10,YBL025W
RPL19B,YBL027W
YBL028C,YBL028C
YBL029W,YBL029W
SHE1,YBL031W
HEK2,YBL032W
YBL036C,YBL036C
APL3,YBL037W
MRPL16,YBL038W
URA7,YBL039C
FUI1,YBL042C
ECM13,YBL043W
YBL044W,YBL044W
COR1,YBL045C
PSY4,YBL046W
EDE1,YBL047C
YBL048W,YBL048W
MOH1,YBL049W
PIN4,YBL051C
SAS3,YBL052C
YBL053W,YBL053W
TOD6,YBL054W
YBL055C,YBL055C
PTC3,YBL056W
PTH2,YBL057C
SHP1,YBL058W
YBL059W,YBL059W
YEL1,YBL060W
SKT5,YBL061C
YBL062W,YBL062W
KIP1,YBL063W
PRX1,YBL064C
YBL065W,YBL065W
SEF1,YBL066C
UBP13,YBL067C
PRS4,YBL068W
AST1,YBL069W
YBL070C,YBL070C
YBL071C,YBL071C
RPS8A,YBL072C
SSA3,YBL075C
ATG8,YBL078C
NUP170,YBL079W
PET112,YBL080C
YBL081W,YBL081W
ALG3,YBL082C
YBL083C,YBL083C
BOI1,YBL085W
YBL086C,YBL086C
RPL23A,YBL087C
TEL1,YBL088C
AVT5,YBL089W
MRP21,YBL090W
MAP2,YBL091C
SCS22,YBL091C-A
ROX3,YBL093C
YBL094C,YBL094C
YBL095W,YBL095W
YBL096C,YBL096C
BNA4,YBL098W
ATP1,YBL099W
YBL100C,YBL100C
ECM21,YBL101C
SFT2,YBL102W
RTG3,YBL103C
YBL104C,YBL104C
SRO77,YBL106C
YBL107C,YBL107C
NTH2,YBR001C
COQ1,YBR003W
RCR1,YBR005W
UGA2,YBR006W
DSF2,YBR007C
FLR1,YBR008C
